Country Name,Series Name,2019values
Kiribati,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.468882294
Kiribati,Population density (people per sq. km of land area),153.3839506
Kiribati,GDP per capita (constant 2015 US$),1405.469188
"Korea, Dem. People's Rep.",CO2 emissions (metric tons per capita),2.156763691
"Korea, Dem. People's Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",44.32957478
"Korea, Dem. People's Rep.",Population density (people per sq. km of land area),213.8978573
"Korea, Dem. People's Rep.",GDP per capita (constant 2015 US$),..
"Korea, Rep.",CO2 emissions (metric tons per capita),11.82528359
"Korea, Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",27.44033926
"Korea, Rep.",Population density (people per sq. km of land area),530.3772746
"Korea, Rep.",GDP per capita (constant 2015 US$),31640.21463
Kosovo,CO2 emissions (metric tons per capita),..
Kosovo,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Kosovo,Population density (people per sq. km of land area),..
Kosovo,GDP per capita (constant 2015 US$),4219.097435
Kuwait,CO2 emissions (metric tons per capita),21.13521425
Kuwait,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.96648013
Kuwait,Population density (people per sq. km of land area),249.2199776
Kuwait,GDP per capita (constant 2015 US$),25777.56662
Kyrgyz Republic,CO2 emissions (metric tons per capita),1.551593817
Kyrgyz Republic,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.07288994
Kyrgyz Republic,Population density (people per sq. km of land area),33.66110532
Kyrgyz Republic,GDP per capita (constant 2015 US$),1226.824306
Lao PDR,CO2 emissions (metric tons per capita),2.658175141
Lao PDR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.54733513
Lao PDR,Population density (people per sq. km of land area),31.24806326
Lao PDR,GDP per capita (constant 2015 US$),2564.019654
Latvia,CO2 emissions (metric tons per capita),3.954965509
Latvia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.01165835
Latvia,Population density (people per sq. km of land area),30.75549199
Latvia,GDP per capita (constant 2015 US$),16069.84043
Lebanon,CO2 emissions (metric tons per capita),4.655297984
Lebanon,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.96029994
